Sales,Quantity,Discount,Shipping Duration,Profit Margin,Sales per Quantity,Order Year,Order Month,Order Quarter,Order Day of Week,Ship Mode_Encoded,Segment_Encoded,Region_Encoded,Category_Encoded,Sub-Category_Encoded,Profit
77.88,2,0.0,5,0.05,38.94,2016,7,3,6,3,1,3,1,14,3.894
95.616,2,0.2,4,0.1,47.808,2017,9,3,1,3,1,2,1,14,9.5616
45.98,2,0.0,2,0.43000000000000005,22.99,2016,3,1,4,0,1,0,2,0,19.7714
17.46,2,0.0,2,0.47000000000000003,8.73,2016,3,1,4,0,1,0,1,3,8.2062
211.96,4,0.0,5,0.04,52.99,2014,10,4,0,2,0,0,1,14,8.4784
45.0,3,0.0,5,0.11,15.0,2016,6,2,0,3,0,1,2,0,4.95
21.8,2,0.0,5,0.27999999999999997,10.9,2016,6,2,0,3,0,1,2,13,6.104
38.22,6,0.0,4,0.47000000000000003,6.37,2015,4,2,5,3,0,0,1,3,17.9634
75.18,6,0.0,4,0.47,12.530000000000001,2015,4,2,5,3,0,0,1,10,35.3346
6.16,2,0.0,4,0.48,3.08,2015,4,2,5,3,0,0,0,9,2.9568
89.99,1,0.0,4,0.19,89.99,2015,4,2,5,3,0,0,0,5,17.0981
15.26,7,0.0,6,0.41,2.18,2016,12,4,6,3,1,1,1,8,6.2566
1029.95,5,0.0,6,0.29,205.99,2016,12,4,6,3,1,1,2,13,298.6855
208.56,6,0.0,1,0.25,34.76,2016,6,2,4,0,0,1,1,14,52.14
32.4,5,0.0,1,0.48,6.4799999999999995,2016,6,2,4,0,0,1,1,12,15.552
319.41,5,0.1,1,0.02222222222222222,63.882000000000005,2016,6,2,4,0,0,1,0,5,7.098
14.56,2,0.0,1,0.48,7.28,2016,6,2,4,0,0,1,1,12,6.9888
30.0,2,0.0,1,0.11,15.0,2016,6,2,4,0,0,1,2,0,3.3
48.48,4,0.2,1,0.33749999999999997,12.12,2016,6,2,4,0,0,1,1,3,16.362
1.68,1,0.0,1,0.5,1.68,2016,6,2,4,0,0,1,1,2,0.84
13.98,2,0.0,6,0.44,6.99,2015,11,4,1,3,0,3,2,0,6.1512
25.824,6,0.2,6,0.3625,4.304,2015,11,4,1,3,0,3,1,3,9.3612
146.73,3,0.0,6,0.47000000000000003,48.91,2015,11,4,1,3,0,3,1,12,68.9631
79.76,4,0.0,6,0.27999999999999997,19.94,2015,11,4,1,3,0,3,0,9,22.3328
213.115,5,0.3,5,-0.07142857142857142,42.623000000000005,2015,4,2,3,3,2,0,0,5,-15.2225
1113.024,8,0.2,5,0.10000000000000002,139.128,2014,12,4,4,3,1,3,1,2,111.3024
167.968,4,0.2,5,0.375,41.992,2014,12,4,4,3,1,3,2,13,62.988
75.88,2,0.0,2,0.4700000000000001,37.94,2016,6,2,5,0,0,2,1,12,35.6636
4.616,1,0.2,5,0.37500000000000006,4.616,2016,9,3,6,3,0,1,1,3,1.731
19.05,3,0.0,3,0.45999999999999996,6.3500000000000005,2017,9,3,3,2,0,0,1,12,8.763
831.936,8,0.2,6,-0.13749999999999998,103.992,2015,4,2,6,3,0,2,0,5,-114.3912
97.04,2,0.2,6,0.0125,48.52,2015,4,2,6,3,0,2,0,9,1.213
72.784,1,0.2,6,-0.25,72.784,2015,4,2,6,3,0,2,1,14,-18.196
1.248,3,0.8,2,-1.5499999999999998,0.416,2017,12,4,5,0,1,0,1,3,-1.9344
9.708,3,0.6,2,-0.6,3.236,2017,12,4,5,0,1,0,0,9,-5.8248
27.24,3,0.2,2,0.10000000000000002,9.08,2017,12,4,5,0,1,0,1,14,2.724
19.3,5,0.6,5,-0.75,3.8600000000000003,2014,11,4,2,2,0,0,0,9,-14.475
208.16,1,0.0,3,0.27,208.16,2016,6,2,6,0,1,2,1,1,56.2032
16.74,3,0.0,3,0.48000000000000004,5.579999999999999,2016,6,2,6,0,1,2,1,3,8.0352
14.9,5,0.0,4,0.27999999999999997,2.98,2014,10,4,6,3,0,3,1,2,4.172
21.39,1,0.0,4,0.29,21.39,2014,10,4,6,3,0,3,1,14,6.2031
200.984,7,0.2,5,0.3125,28.712,2015,9,3,3,3,1,2,1,7,62.8075
230.376,3,0.2,3,-0.2125,76.792,2017,11,4,0,0,2,0,1,14,-48.9549
301.96,2,0.0,2,0.11000000000000001,150.98,2017,5,2,6,2,0,2,0,5,33.2156
19.99,1,0.0,7,0.34,19.99,2017,10,4,3,3,0,0,2,0,6.7966
6.16,2,0.0,7,0.48,3.08,2017,10,4,3,3,0,0,1,10,2.9568
158.368,7,0.2,5,0.08750000000000001,22.624,2016,4,2,1,2,2,0,1,14,13.8572
20.1,3,0.0,5,0.32999999999999996,6.7,2016,9,3,5,3,1,3,1,2,6.633
73.584,2,0.2,5,0.11249999999999999,36.792,2016,9,3,5,3,1,3,2,13,8.2782
6.48,1,0.0,5,0.4799999999999999,6.48,2016,9,3,5,3,1,3,1,12,3.1104
12.96,2,0.0,5,0.4799999999999999,6.48,2015,1,1,5,2,0,0,1,12,6.2208
53.34,3,0.0,5,0.30999999999999994,17.78,2015,1,1,5,2,0,0,0,9,16.5354
32.96,2,0.0,5,0.49000000000000005,16.48,2015,1,1,5,2,0,0,1,3,16.1504
5.682,1,0.7,6,-0.6666666666666666,5.682,2017,11,4,0,3,2,3,1,3,-3.788
96.53,7,0.0,2,0.42,13.790000000000001,2017,11,4,3,2,2,1,0,9,40.5426
51.312,3,0.2,3,0.35,17.104,2017,6,2,5,0,0,3,1,3,17.9592
77.88,6,0.0,5,0.29000000000000004,12.979999999999999,2016,9,3,1,3,1,0,1,1,22.5852
64.624,7,0.2,4,0.35000000000000003,9.232,2016,8,3,0,3,2,0,1,12,22.6184
95.976,3,0.2,4,-0.1125,31.992,2016,8,3,0,3,2,0,2,0,-10.7973
1.788,3,0.8,4,-1.7,0.596,2016,8,3,0,3,2,0,1,3,-3.0396
23.92,4,0.0,3,0.49,5.98,2016,12,4,3,2,0,0,1,12,11.7208
238.896,6,0.2,4,-0.11250000000000002,39.815999999999995,2015,11,4,4,3,0,3,2,0,-26.8758
102.36,3,0.2,4,-0.0375,34.12,2015,11,4,4,3,0,3,0,9,-3.8385
36.882,3,0.7,4,-0.7000000000000001,12.293999999999999,2015,11,4,4,3,0,3,1,3,-25.8174
74.112,8,0.2,5,0.23750000000000004,9.264,2017,11,4,3,3,0,2,2,0,17.6016
27.992,1,0.2,5,0.075,27.992,2017,11,4,3,3,0,2,2,13,2.0994
3.304,1,0.2,5,0.32500000000000007,3.304,2017,11,4,3,3,0,2,1,2,1.0738
339.96,5,0.2,5,0.20000000000000004,67.99199999999999,2015,10,4,3,3,2,0,2,0,67.992
41.96,2,0.0,5,0.25999999999999995,20.98,2017,12,4,0,3,1,1,0,9,10.9096
75.96,2,0.0,7,0.30000000000000004,37.98,2016,11,4,3,3,0,0,1,2,22.788
27.24,6,0.0,7,0.49000000000000005,4.54,2016,11,4,3,3,0,0,1,3,13.3476
40.096,14,0.2,2,0.36250000000000004,2.864,2014,8,3,0,2,0,1,1,8,14.5348
4.72,2,0.2,2,0.35,2.36,2014,8,3,0,2,0,1,1,7,1.652
23.976,3,0.2,2,0.3125,7.992,2014,8,3,0,2,0,1,1,12,7.4925
130.464,6,0.2,2,0.33749999999999997,21.744,2014,8,3,0,2,0,1,1,7,44.0316
787.53,3,0.0,4,0.21000000000000002,262.51,2015,3,1,0,3,0,3,0,16,165.3813
157.794,1,0.7,5,-0.7333333333333333,157.794,2015,4,2,6,3,1,2,1,3,-115.7156
47.04,3,0.0,3,0.39,15.68,2016,6,2,6,0,0,1,0,9,18.3456
30.84,4,0.0,3,0.45,7.71,2016,6,2,6,0,0,1,1,3,13.878
226.56,6,0.0,3,0.27999999999999997,37.76,2016,6,2,6,0,0,1,1,14,63.4368
115.02,9,0.0,3,0.45,12.78,2016,6,2,6,0,0,1,1,7,51.759
68.04,7,0.0,3,0.29,9.72,2016,6,2,6,0,0,1,2,13,19.7316
600.558,3,0.3,2,-0.014285714285714285,200.186,2014,12,4,4,2,2,0,0,5,-8.5794
617.7,6,0.5,5,-0.66,102.95,2014,9,3,5,3,0,0,0,16,-407.682
2.388,2,0.7,7,-0.7666666666666667,1.194,2017,11,4,6,3,0,3,1,3,-1.8308
243.992,7,0.2,7,0.125,34.856,2017,11,4,6,3,0,3,1,14,30.499
81.424,2,0.2,4,-0.11249999999999999,40.712,2016,11,4,6,2,2,3,0,5,-9.1602
238.56,3,0.0,4,0.10999999999999999,79.52,2016,11,4,6,2,2,3,0,9,26.2416
59.97,5,0.4,3,-0.2,11.994,2017,2,1,3,0,1,1,2,13,-11.994
78.304,2,0.2,3,0.375,39.152,2017,2,1,3,0,1,1,1,12,29.364
21.456,9,0.2,3,0.325,2.384,2017,2,1,3,0,1,1,1,8,6.9732
20.04,3,0.0,6,0.48,6.68,2016,10,4,3,3,0,3,1,12,9.6192
35.44,1,0.0,6,0.47000000000000003,35.44,2016,10,4,3,3,0,3,1,12,16.6568
11.52,4,0.0,6,0.3,2.88,2016,10,4,3,3,0,3,1,2,3.456
4.02,2,0.0,6,0.49000000000000005,2.01,2016,10,4,3,3,0,3,1,8,1.9698
76.176,3,0.2,6,0.35,25.392,2016,10,4,3,3,0,3,1,3,26.6616
65.88,6,0.0,6,0.28,10.979999999999999,2016,10,4,3,3,0,3,1,15,18.4464
43.12,14,0.0,6,0.48000000000000004,3.0799999999999996,2016,10,4,3,3,0,3,0,9,20.6976
82.8,2,0.2,2,0.125,41.4,2016,9,3,0,2,1,1,0,9,10.35
8.82,3,0.0,5,0.27,2.94,2017,9,3,0,3,1,3,1,2,2.3814
10.86,3,0.0,5,0.47,3.6199999999999997,2017,9,3,0,3,1,3,1,7,5.1042
143.7,3,0.0,5,0.48000000000000004,47.9,2017,9,3,0,3,1,3,1,12,68.976
839.43,3,0.0,5,0.26,279.81,2017,12,4,4,3,0,0,1,1,218.2518
671.93,7,0.0,5,0.030000000000000006,95.99,2015,9,3,0,3,0,3,1,14,20.1579
93.888,4,0.2,6,0.13749999999999998,23.472,2014,10,4,2,3,2,1,0,9,12.9096
384.45,11,0.0,4,0.27,34.949999999999996,2016,12,4,0,3,1,0,2,13,103.8015
149.97,3,0.0,4,0.04,49.99,2016,12,4,0,3,1,0,2,13,5.9988
1951.84,8,0.0,4,0.30000000000000004,243.98,2016,12,4,0,3,1,0,0,5,585.552
171.55,5,0.0,4,0.47,34.31,2016,12,4,0,3,1,0,1,3,80.6285
157.92,5,0.2,3,0.1125,31.583999999999996,2016,3,1,6,0,2,3,1,1,17.766
203.184,2,0.2,3,0.075,101.592,2016,3,1,6,0,2,3,2,13,15.2388
58.38,7,0.0,2,0.45,8.34,2015,5,2,6,0,1,3,1,12,26.271
105.52,4,0.0,2,0.46,26.38,2015,5,2,6,0,1,3,1,12,48.5392
80.88,6,0.0,2,0.26,13.479999999999999,2015,5,2,6,0,1,3,1,14,21.0288
6.63,3,0.0,6,0.27,2.21,2015,5,2,3,3,2,3,1,2,1.7901
457.568,2,0.2,5,0.1125,228.784,2014,3,1,5,2,0,3,0,5,51.4764
14.62,2,0.0,4,0.47000000000000003,7.31,2016,11,4,6,3,0,0,1,10,6.8714
944.93,7,0.0,4,0.25,134.98999999999998,2016,11,4,6,3,0,0,2,13,236.2325
5.98,1,0.0,1,0.44999999999999996,5.98,2016,5,2,2,0,0,3,1,12,2.691
54.384,2,0.2,3,0.024999999999999998,27.192,2015,12,4,0,2,0,1,2,0,1.3596
28.4,5,0.0,4,0.47000000000000003,5.68,2016,11,4,2,3,0,3,1,7,13.348
27.68,2,0.2,4,0.35000000000000003,13.84,2016,11,4,0,3,0,3,1,3,9.688
9.936,3,0.2,4,0.275,3.312,2014,9,3,0,3,0,0,1,2,2.7324
8159.952,8,0.4,4,-0.16666666666666666,1019.994,2014,9,3,0,3,0,0,2,11,-1359.992
275.928,3,0.2,4,-0.21250000000000002,91.976,2014,9,3,0,3,0,0,1,14,-58.6347
1740.06,9,0.3,4,-0.014285714285714287,193.34,2014,9,3,0,3,0,0,0,5,-24.858
32.064,6,0.2,4,0.2125,5.344,2014,9,3,0,3,0,0,1,2,6.8136
177.98,5,0.8,4,-2.5500000000000003,35.596,2014,9,3,0,3,0,0,1,1,-453.849
143.976,3,0.2,4,0.0625,47.992,2014,9,3,0,3,0,0,2,13,8.9985
20.94,3,0.0,4,0.4699999999999999,6.98,2014,8,3,1,3,0,3,1,12,9.8418
110.96,2,0.0,4,0.48000000000000004,55.48,2014,8,3,1,3,0,3,1,12,53.2608
340.144,7,0.2,4,0.0625,48.592,2014,8,3,1,3,0,3,0,5,21.259
52.448,2,0.8,5,-2.5,26.224,2014,9,3,6,3,1,0,1,1,-131.12
20.16,4,0.2,5,0.32499999999999996,5.04,2014,9,3,6,3,1,0,1,10,6.552
97.264,4,0.8,4,-2.5,24.316,2017,4,2,4,2,0,0,1,1,-243.16
396.802,7,0.3,2,-0.028571428571428567,56.686,2015,11,4,5,2,0,1,0,5,-11.3372
15.88,5,0.2,2,-0.2375,3.176,2015,11,4,5,2,0,1,1,15,-3.7715
3.28,1,0.0,4,0.43000000000000005,3.28,2015,12,4,1,3,2,1,1,2,1.4104
24.816,2,0.2,4,0.075,12.408,2014,12,4,4,2,1,0,1,14,1.8612
408.744,7,0.2,4,0.18749999999999997,58.392,2014,12,4,4,2,1,0,2,0,76.6395
503.96,4,0.0,5,0.26,125.99,2014,11,4,2,2,2,2,2,13,131.0296
149.95,5,0.0,5,0.28,29.99,2014,11,4,2,2,2,2,2,13,41.986
29.0,2,0.0,5,0.25,14.5,2014,11,4,2,2,2,2,2,0,7.25
7.16,2,0.0,4,0.48,3.58,2016,11,4,0,3,0,1,1,3,3.4368
176.8,8,0.0,4,0.13,22.1,2014,8,3,1,3,2,3,2,0,22.984
37.224,3,0.2,6,0.1,12.408,2016,7,3,5,3,1,0,1,14,3.7224
20.016,3,0.2,6,0.3125,6.672,2016,7,3,5,3,1,0,1,12,6.255
899.136,4,0.2,2,0.125,224.784,2015,10,4,0,0,2,1,0,4,112.392
71.76,6,0.0,2,0.27999999999999997,11.96,2015,10,4,0,0,2,1,2,13,20.0928
51.84,8,0.0,2,0.4799999999999999,6.48,2015,10,4,0,0,2,1,1,12,24.8832
626.352,3,0.2,2,0.075,208.784,2015,10,4,0,0,2,1,0,4,46.9764
19.9,5,0.0,2,0.33,3.9799999999999995,2015,10,4,0,0,2,1,1,2,6.567
14.28,7,0.0,6,0.47000000000000003,2.04,2015,10,4,5,3,1,3,1,7,6.7116
7.408,2,0.2,4,0.16249999999999998,3.704,2014,3,1,4,3,0,1,1,2,1.2038
6.048,3,0.2,4,0.26249999999999996,2.016,2014,3,1,4,3,0,1,1,2,1.5876
46.26,3,0.0,7,0.26,15.42,2017,11,4,0,3,2,1,1,14,12.0276
2.946,2,0.7,7,-0.7666666666666666,1.473,2017,7,3,3,3,1,1,1,3,-2.2586
16.056,3,0.2,7,0.36249999999999993,5.352,2017,7,3,3,3,1,1,1,12,5.8203
21.744,3,0.2,5,0.3125,7.248,2017,6,2,5,3,0,1,1,12,6.795
218.75,2,0.5,2,-0.74,109.375,2014,8,3,6,0,0,3,0,16,-161.875
2.6,1,0.2,2,0.11249999999999999,2.6,2014,8,3,6,0,0,3,1,1,0.2925
66.284,2,0.8,4,-2.6999999999999997,33.142,2017,12,4,6,2,0,0,1,1,-178.9668
35.168,7,0.2,4,0.275,5.024,2017,6,2,5,3,1,2,0,9,9.6712
444.768,4,0.2,5,0.1,111.192,2017,12,4,5,3,0,3,2,13,44.4768
83.92,4,0.0,6,0.06999999999999999,20.98,2017,12,4,4,3,0,0,1,14,5.8744
131.98,2,0.0,6,0.27,65.99,2017,12,4,4,3,0,0,2,13,35.6346
15.92,4,0.0,6,0.47000000000000003,3.98,2017,12,4,4,3,0,0,1,3,7.4824
52.29,9,0.0,6,0.31000000000000005,5.81,2017,12,4,4,3,0,0,1,8,16.2099
91.99,1,0.0,6,0.04000000000000001,91.99,2017,12,4,4,3,0,0,1,14,3.6796
20.8,2,0.2,4,0.3125,10.4,2015,2,1,0,2,1,0,2,0,6.5
23.68,2,0.2,7,0.37500000000000006,11.84,2015,1,1,4,3,1,1,1,10,8.88
452.45,5,0.5,7,-0.54,90.49,2015,1,1,4,3,1,1,0,4,-244.323
62.982,3,0.4,7,-0.23333333333333334,20.994,2015,1,1,4,3,1,1,2,13,-14.6958
1188.0,9,0.7,7,-0.7999999999999999,132.0,2015,1,1,4,3,1,1,2,11,-950.4
89.584,2,0.2,7,0.049999999999999996,44.792,2015,1,1,4,3,1,1,2,0,4.4792
93.06,6,0.0,4,0.27999999999999997,15.51,2016,10,4,4,3,0,3,1,14,26.0568
302.376,3,0.2,4,0.07500000000000001,100.79199999999999,2016,10,4,4,3,0,3,2,13,22.6782
5.584,2,0.2,3,0.325,2.792,2015,12,4,3,0,0,1,1,8,1.8148
22.704,6,0.2,3,0.3625,3.7840000000000003,2015,12,4,3,0,0,1,1,12,8.2302
19.776,4,0.7,3,-0.7,4.944,2015,12,4,3,0,0,1,1,3,-13.8432
72.704,4,0.2,3,0.26250000000000007,18.176,2015,12,4,3,0,0,1,0,9,19.0848
479.988,4,0.7,3,-0.8,119.997,2015,12,4,3,0,0,1,2,11,-383.9904
27.168,2,0.2,3,0.1,13.584,2015,12,4,3,0,0,1,1,2,2.7168
2.2,1,0.0,7,0.43999999999999995,2.2,2015,8,3,6,3,1,0,1,2,0.968
622.45,5,0.0,7,0.21999999999999997,124.49000000000001,2015,8,3,6,3,1,0,0,16,136.939
21.98,1,0.0,7,0.01,21.98,2015,8,3,6,3,1,0,1,14,0.2198
161.568,2,0.2,4,-0.175,80.784,2015,2,1,5,3,0,2,0,5,-28.2744
389.696,8,0.2,4,0.1125,48.712,2015,2,1,5,3,0,2,0,5,43.8408
18.648,7,0.7,4,-0.6666666666666667,2.664,2014,9,3,5,3,1,2,1,3,-12.432
233.86,2,0.45,5,-0.43636363636363634,116.93,2017,4,2,4,3,2,2,0,16,-102.048
620.6145,3,0.45,5,-0.39999999999999997,206.8715,2017,4,2,4,3,2,2,0,16,-248.2458
5.328,2,0.7,5,-0.6666666666666666,2.664,2017,4,2,4,3,2,2,1,3,-3.552
258.072,3,0.2,5,0.0,86.024,2017,4,2,4,3,2,2,0,9,0.0
617.976,3,0.2,5,-0.0125,205.992,2017,4,2,4,3,2,2,2,0,-7.7247
10.56,2,0.0,4,0.44999999999999996,5.28,2017,11,4,6,3,1,3,1,12,4.752
25.92,5,0.2,5,0.3625,5.184,2016,6,2,5,2,0,0,1,12,9.396
419.68,5,0.6,5,-0.85,83.936,2016,6,2,5,2,0,0,0,9,-356.728
11.688,3,0.6,5,-0.4,3.8960000000000004,2016,6,2,5,2,0,0,0,9,-4.6752
31.984,2,0.2,5,0.35,15.992,2016,6,2,5,2,0,0,2,13,11.1944
177.225,5,0.5,5,-0.68,35.445,2016,6,2,5,2,0,0,0,16,-120.513
4.044,3,0.6,5,-0.7000000000000001,1.3479999999999999,2016,6,2,5,2,0,0,0,9,-2.8308
7.408,2,0.2,5,0.16249999999999998,3.704,2016,6,2,5,2,0,0,1,2,1.2038
2001.86,7,0.0,5,0.29000000000000004,285.97999999999996,2014,6,2,6,2,2,0,0,5,580.5394
166.72,2,0.0,5,0.25,83.36,2014,6,2,6,2,2,0,1,14,41.68
47.88,6,0.0,5,0.5,7.98,2014,6,2,6,2,2,0,1,12,23.94
1503.25,5,0.0,5,0.33,300.65,2014,6,2,6,2,2,0,1,1,496.0725
25.92,4,0.0,5,0.4799999999999999,6.48,2014,6,2,6,2,2,0,1,12,12.4416
321.568,2,0.2,5,0.08750000000000001,160.784,2016,12,4,5,2,0,3,0,5,28.1372
7.61,1,0.0,6,0.47000000000000003,7.61,2016,9,3,6,3,0,3,1,12,3.5767
3347.37,13,0.0,6,0.19000000000000003,257.49,2016,9,3,6,3,0,3,2,0,636.0003
80.58,6,0.0,3,0.28,13.43,2016,12,4,5,0,0,1,1,14,22.5624
361.92,4,0.0,3,0.45,90.48,2016,12,4,5,0,0,1,1,7,162.864
12.132,9,0.6,6,-0.7000000000000001,1.3479999999999999,2015,11,4,5,3,1,0,0,9,-8.4924
82.368,2,0.2,6,-0.23750000000000002,41.184,2015,11,4,5,3,1,0,1,14,-19.5624
53.92,5,0.2,6,0.07499999999999998,10.784,2015,11,4,5,3,1,0,1,14,4.044
647.904,6,0.2,6,0.08750000000000001,107.984,2015,11,4,5,3,1,0,2,13,56.6916
20.37,3,0.0,2,0.33999999999999997,6.79,2017,12,4,4,2,0,1,2,0,6.9258
221.55,3,0.0,2,0.029999999999999995,73.85000000000001,2017,12,4,4,2,0,1,1,14,6.6465
17.52,5,0.2,2,0.35,3.504,2017,12,4,4,2,0,1,1,3,6.132
1.624,2,0.8,4,-2.75,0.812,2017,6,2,3,3,1,0,1,1,-4.466
3059.982,3,0.4,2,-0.16666666666666669,1019.994,2014,9,3,4,2,1,0,2,11,-509.997
2519.958,7,0.4,2,-0.09999999999999999,359.994,2014,9,3,4,2,1,0,2,11,-251.9958
328.224,4,0.2,7,0.08750000000000001,82.056,2016,6,2,0,3,0,0,2,13,28.7196
79.9,2,0.0,5,0.43999999999999995,39.95,2015,11,4,1,3,0,3,2,0,35.156
14.016,3,0.2,4,0.3375,4.672,2017,6,2,4,3,1,2,1,2,4.7304
7.56,6,0.0,6,0.04,1.26,2016,1,1,4,3,0,1,1,8,0.3024
37.208,1,0.2,4,-0.2,37.208,2017,12,4,5,3,1,1,1,14,-7.4416
57.576,3,0.2,4,0.375,19.192,2017,12,4,5,3,1,1,1,7,21.591
725.84,4,0.0,5,0.29,181.46,2017,12,4,3,2,1,3,1,14,210.4936
209.93,7,0.0,1,0.44,29.990000000000002,2015,7,3,3,0,0,3,2,0,92.3692
5.28,3,0.0,1,0.43999999999999995,1.76,2015,7,3,3,0,0,3,0,9,2.3232
10.92,3,0.2,1,0.375,3.64,2015,7,3,3,0,0,3,1,3,4.095
8.82,2,0.0,1,0.45999999999999996,4.41,2017,9,3,5,0,1,3,1,12,4.0572
5.98,1,0.0,1,0.25999999999999995,5.98,2017,9,3,5,0,1,3,1,2,1.5548
11.648,2,0.2,4,0.35000000000000003,5.824,2017,10,4,4,3,1,1,1,12,4.0768
18.176,4,0.2,4,0.325,4.544,2017,10,4,4,3,1,1,1,12,5.9072
59.712,6,0.2,4,0.09999999999999999,9.952,2017,10,4,4,3,1,1,1,14,5.9712
24.84,3,0.2,4,0.35000000000000003,8.28,2017,10,4,4,3,1,1,1,10,8.694
2.08,5,0.8,2,-1.65,0.41600000000000004,2015,9,3,5,2,0,0,1,3,-3.432
1114.4,7,0.2,2,0.33749999999999997,159.20000000000002,2015,9,3,5,2,0,0,2,13,376.11
1038.84,5,0.2,4,0.05,207.76799999999997,2015,11,4,0,3,0,3,0,16,51.942
141.76,5,0.2,6,0.3375,28.351999999999997,2015,9,3,5,3,0,3,1,12,47.844
239.8,5,0.2,6,0.19999999999999998,47.96,2015,9,3,5,3,0,3,2,0,47.96
31.104,6,0.2,6,0.35000000000000003,5.184,2015,9,3,5,3,0,3,1,12,10.8864
254.058,7,0.7,2,-0.6666666666666667,36.294,2016,12,4,6,2,1,2,1,3,-169.372
194.528,2,0.2,2,0.125,97.264,2016,12,4,6,2,1,2,1,1,24.316
961.48,5,0.2,2,-0.2125,192.296,2016,12,4,6,2,1,2,1,15,-204.3145
19.096,7,0.2,4,0.35000000000000003,2.728,2016,11,4,6,2,2,1,1,8,6.6836
